ID,HR,Label
1160,101,Abnormal
1161,101,Abnormal
1162,101,Abnormal
1163,101,Abnormal
1164,101,Abnormal
1165,101,Abnormal
1166,101,Abnormal
1167,101,Abnormal
1168,101,Abnormal
1169,101,Abnormal
1170,101,Abnormal
1171,101,Abnormal
1172,101,Abnormal
1173,101,Abnormal
1174,101,Abnormal
1175,101,Abnormal
1176,101,Abnormal
1177,101,Abnormal
1178,101,Abnormal
1179,101,Abnormal
1180,101,Abnormal
1181,100,Abnormal
1182,100,Abnormal
1183,100,Abnormal
1184,100,Abnormal
1185,100,Abnormal
1186,100,Abnormal
1187,100,Abnormal
1188,100,Abnormal
1189,100,Abnormal
1190,100,Abnormal
1191,100,Abnormal
1192,100,Abnormal
1193,100,Abnormal
1194,100,Abnormal
1195,99,Normal
1196,99,Normal
1197,99,Normal
1198,99,Normal
1199,99,Normal
1200,99,Normal
1201,99,Normal
1202,99,Normal
1203,99,Normal
1204,99,Normal
1205,99,Normal
1206,98,Normal
1207,98,Normal
1208,98,Normal
1209,98,Normal
1210,98,Normal
1211,98,Normal
1212,97,Normal
1213,97,Normal
1214,97,Normal
1215,97,Normal
1216,97,Normal
1217,97,Normal
1218,97,Normal
1219,97,Normal
1220,97,Normal
1221,97,Normal
1222,97,Normal
1223,96,Normal
1224,96,Normal
1225,96,Normal
1226,96,Normal
1227,96,Normal
1228,96,Normal
1229,94,Normal
1230,94,Normal
1231,94,Normal
1232,94,Normal
1233,94,Normal
1234,93,Normal
1235,93,Normal
1236,93,Normal
1237,93,Normal
1238,93,Normal
1239,93,Normal
1240,92,Normal
1241,92,Normal
1242,92,Normal
1243,92,Normal
1244,92,Normal
1245,91,Normal
1246,91,Normal
1247,91,Normal
1248,91,Normal
1249,91,Normal
1250,91,Normal
1251,90,Normal
1252,90,Normal
1253,90,Normal
1254,90,Normal
1255,90,Normal
1256,90,Normal
1257,90,Normal
1258,90,Normal
1259,90,Normal
1260,90,Normal
1261,90,Normal
1262,90,Normal
1263,90,Normal
1264,90,Normal
1265,90,Normal
1266,90,Normal
1267,90,Normal
1268,90,Normal
1269,90,Normal
1270,90,Normal
1271,90,Normal
1272,90,Normal
1273,90,Normal
1274,90,Normal
1275,90,Normal
1276,90,Normal
1277,90,Normal
1278,90,Normal
1279,90,Normal
1280,90,Normal
1281,90,Normal
1282,90,Normal
1283,90,Normal
1284,90,Normal
1285,90,Normal
1286,90,Normal
1287,90,Normal
1288,90,Normal
1289,90,Normal
1290,90,Normal
1291,90,Normal
1292,90,Normal
1293,90,Normal
1294,90,Normal
1295,90,Normal
1296,90,Normal
1297,90,Normal
1298,90,Normal
1299,91,Normal
1300,91,Normal
1301,91,Normal
1302,91,Normal
1303,91,Normal
1304,91,Normal
1305,91,Normal
1306,91,Normal
1307,91,Normal
1308,91,Normal
1309,91,Normal
1310,91,Normal
1311,91,Normal
1312,91,Normal
1313,91,Normal
1314,91,Normal
1315,91,Normal
1316,91,Normal
1317,91,Normal
1318,91,Normal
1319,91,Normal
1320,91,Normal
1321,91,Normal
1322,91,Normal
1323,91,Normal
1324,91,Normal
1325,91,Normal
1326,91,Normal
1327,91,Normal
1328,91,Normal
1329,91,Normal
1330,91,Normal
1331,91,Normal
1332,91,Normal
1333,91,Normal
1334,91,Normal
1335,91,Normal
1336,91,Normal
1337,91,Normal
1338,91,Normal
1339,91,Normal
1340,91,Normal
1341,91,Normal
1342,91,Normal
1343,91,Normal
1344,91,Normal
1345,91,Normal
1346,90,Normal
1347,90,Normal
1348,90,Normal
1349,90,Normal
1350,90,Normal
1351,90,Normal
1352,90,Normal
1353,90,Normal
1354,90,Normal
1355,90,Normal
1356,90,Normal
1357,90,Normal
1358,90,Normal
1359,90,Normal
1360,90,Normal
1361,90,Normal
1362,90,Normal
1363,90,Normal
1364,90,Normal
1365,90,Normal
1366,90,Normal
1367,90,Normal
1368,90,Normal
1369,90,Normal
1370,89,Normal
1371,89,Normal
1372,89,Normal
1373,89,Normal
1374,89,Normal
1375,89,Normal
1376,88,Normal
1377,88,Normal
1378,88,Normal
1379,88,Normal
1380,88,Normal
1381,88,Normal
1382,88,Normal
1383,88,Normal
1384,88,Normal
1385,88,Normal
1386,88,Normal
1387,88,Normal
1388,88,Normal
1389,87,Normal
1390,87,Normal
1391,87,Normal
1392,87,Normal
1393,87,Normal
1394,87,Normal
1395,86,Normal
1396,86,Normal
1397,86,Normal
1398,86,Normal
1399,86,Normal
1400,86,Normal
1401,86,Normal
1402,86,Normal
1403,86,Normal
1404,86,Normal
1405,86,Normal
1406,86,Normal
1407,85,Normal
1408,85,Normal
1409,85,Normal
1410,85,Normal
1411,85,Normal
1412,85,Normal
1413,85,Normal
1414,85,Normal
1415,85,Normal
1416,85,Normal
1417,85,Normal
1418,85,Normal
1419,85,Normal
1420,84,Normal
1421,84,Normal
1422,84,Normal
1423,84,Normal
1424,84,Normal
1425,84,Normal
1426,84,Normal
1427,84,Normal
1428,84,Normal
1429,84,Normal
1430,84,Normal
1431,84,Normal
1432,84,Normal
1433,84,Normal
1434,84,Normal
1435,84,Normal
1436,84,Normal
1437,84,Normal
1438,84,Normal
1439,84,Normal
1440,84,Normal
1441,84,Normal
1442,84,Normal
1443,84,Normal
1444,83,Normal
1445,83,Normal
1446,83,Normal
1447,83,Normal
1448,83,Normal
1449,84,Normal
1450,84,Normal
1451,84,Normal
1452,84,Normal
1453,84,Normal
1454,84,Normal
1455,84,Normal
1456,84,Normal
1457,84,Normal
1458,84,Normal
1459,84,Normal
1460,84,Normal
1461,83,Normal
1462,83,Normal
1463,83,Normal
1464,83,Normal
1465,83,Normal
1466,83,Normal
1467,84,Normal
1468,84,Normal
1469,84,Normal
1470,84,Normal
1471,84,Normal
1472,84,Normal
1473,84,Normal
1474,84,Normal
1475,84,Normal
1476,84,Normal
1477,84,Normal
1478,84,Normal
1479,84,Normal
1480,84,Normal
1481,84,Normal
1482,84,Normal
1483,84,Normal
1484,84,Normal
1485,83,Normal
1486,83,Normal
1487,83,Normal
1488,83,Normal
1489,83,Normal
1490,83,Normal
1491,84,Normal
1492,84,Normal
1493,84,Normal
1494,84,Normal
1495,84,Normal
1496,84,Normal
1497,84,Normal
1498,84,Normal
1499,84,Normal
1500,84,Normal
1501,84,Normal
1502,84,Normal
1503,83,Normal
1504,83,Normal
1505,83,Normal
1506,83,Normal
1507,83,Normal
1508,83,Normal
1509,83,Normal
1510,83,Normal
1511,83,Normal
1512,83,Normal
1513,83,Normal
1514,83,Normal
1515,84,Normal
1516,84,Normal
1517,84,Normal
1518,84,Normal
1519,84,Normal
1520,84,Normal
1521,84,Normal
1522,83,Normal
1523,83,Normal
1524,83,Normal
1525,83,Normal
1526,83,Normal
1527,83,Normal
1528,83,Normal
1529,83,Normal
1530,83,Normal
1531,83,Normal
1532,83,Normal
1533,83,Normal
1534,83,Normal
1535,83,Normal
1536,83,Normal
1537,83,Normal
1538,83,Normal
1539,83,Normal
1540,83,Normal
1541,83,Normal
1542,83,Normal
1543,83,Normal
1544,83,Normal
1545,83,Normal
1546,83,Normal
1547,83,Normal
1548,83,Normal
1549,83,Normal
1550,83,Normal
1551,83,Normal
1552,83,Normal
1553,83,Normal
1554,83,Normal
1555,83,Normal
1556,83,Normal
1557,83,Normal
1558,83,Normal
1559,83,Normal
1560,83,Normal
1561,83,Normal
1562,83,Normal
1563,83,Normal
1564,83,Normal
1565,83,Normal
1566,83,Normal
1567,83,Normal
1568,83,Normal
1569,83,Normal
1570,83,Normal
1571,83,Normal
1572,83,Normal
1573,83,Normal
1574,83,Normal
1575,83,Normal
1576,83,Normal
1577,82,Normal
1578,82,Normal
1579,82,Normal
1580,82,Normal
1581,82,Normal
1582,82,Normal
1583,82,Normal
1584,82,Normal
1585,82,Normal
1586,82,Normal
1587,82,Normal
1588,82,Normal
1589,82,Normal
1590,82,Normal
1591,82,Normal
1592,82,Normal
1593,82,Normal
1594,82,Normal
1595,82,Normal
1596,82,Normal
1597,82,Normal
1598,82,Normal
1599,82,Normal
1600,82,Normal
1601,82,Normal
1602,82,Normal
1603,82,Normal
1604,82,Normal
1605,82,Normal
1606,82,Normal
1607,82,Normal
1608,82,Normal
1609,82,Normal
1610,82,Normal
1611,82,Normal
1612,82,Normal
1613,82,Normal
1614,82,Normal
1615,82,Normal
1616,82,Normal
1617,82,Normal
1618,82,Normal
1619,82,Normal
1620,82,Normal
1621,82,Normal
1622,82,Normal
1623,82,Normal
1624,82,Normal
1625,82,Normal
1626,82,Normal
1627,82,Normal
1628,82,Normal
1629,82,Normal
1630,82,Normal
1631,82,Normal
1632,82,Normal
1633,82,Normal
1634,81,Normal
1635,81,Normal
1636,81,Normal
1637,81,Normal
1638,81,Normal
1639,81,Normal
1640,81,Normal
1641,81,Normal
1642,81,Normal
1643,81,Normal
1644,81,Normal
1645,81,Normal
1646,81,Normal
1647,81,Normal
1648,81,Normal
1649,81,Normal
1650,81,Normal
1651,81,Normal
1652,81,Normal
1653,81,Normal
1654,81,Normal
1655,81,Normal
1656,81,Normal
1657,81,Normal
1658,81,Normal
1659,81,Normal
1660,81,Normal
1661,81,Normal
1662,81,Normal
1663,82,Normal
1664,82,Normal
1665,82,Normal
1666,82,Normal
1667,82,Normal
1668,82,Normal
1669,82,Normal
1670,82,Normal
1671,82,Normal
1672,82,Normal
1673,82,Normal
1674,82,Normal
1675,82,Normal
1676,81,Normal
1677,81,Normal
1678,81,Normal
1679,81,Normal
1680,81,Normal
1681,81,Normal
1682,81,Normal
1683,81,Normal
1684,81,Normal
1685,81,Normal
1686,81,Normal
1687,81,Normal
1688,82,Normal
1689,82,Normal
1690,82,Normal
1691,82,Normal
1692,82,Normal
1693,82,Normal
1694,82,Normal
1695,81,Normal
1696,81,Normal
1697,81,Normal
1698,81,Normal
1699,81,Normal
1700,81,Normal
1701,81,Normal
1702,81,Normal
1703,81,Normal
1704,81,Normal
1705,81,Normal
1706,81,Normal
1707,81,Normal
1708,81,Normal
1709,81,Normal
1710,81,Normal
1711,81,Normal
1712,81,Normal
1713,81,Normal
